Epoch,Avg Training Loss,Min
267,9.3384,8.9781
268,9.3805,8.9781
269,9.3797,8.9781
270,9.3694,8.9781
271,9.3814,8.9781
272,9.3723,8.9781
273,9.3575,8.9781
274,9.3531,8.9781
275,9.362,8.9781
276,9.3693,8.9781
277,9.3792,8.9781
278,9.3992,8.9781
279,9.3896,8.9781
280,9.4037,8.9781
281,9.4055,8.9781
282,9.4084,8.9781
283,9.4093,8.9781
284,9.4121,8.9781
285,9.391,8.9781
286,9.3763,8.9781
287,9.3686,8.9781
288,9.409,8.9781
289,9.4071,8.9781
290,9.3953,8.9781
291,9.4147,8.9781
292,9.4049,8.9781
293,9.3874,8.9781
294,9.3863,8.9781
295,9.3834,8.9781
296,9.4073,8.9781
297,9.3831,8.9781
298,9.3805,8.9781
299,9.3625,8.9781
